id,name
787,Pepi's Apartment
788,MARINE WORLD
789,AQUARIUM
790,KBBL RADIO
791,LUNCH ROOM
792,Wiggum Home
793,ADULT MOVIE THEATER
794,PRESIDENT'S BOX
795,Springfield Elementary School Auditorium
796,AUDITORIUM STAGE DOOR
797,Nuclear Plant Parking Lot
798,Duff Brewery
799,Duff Museum
800,Duff Brewery Entrance
801,All Creatures Great and Cheap
802,DRIVER TRAINING SCHOOL
803,CHURCH BASEMENT ROOM
804,SCIENCE FAIR
805,BASEBALL STADIUM
806,ALCH-ANON MEETING
807,SPRINGFIELD POWER WORKS
808,Dentist's Office
809,UNION HALL
810,Nuclear Plant Hallway
811,Springfield Shopper Building
812,RED LIGHT DISTRICT
813,Factory
814,Simpson Hut
815,Hardware Store
816,Cartoon Barber Shop
817,Itchy & Scratchy Studios
818,ROGER MEYERS' OFFICE
819,Bart and Lisa's Bedroom
820,Gym
821,GYMNASIUM
822,WRITERS' OFFICE
823,Animation Building
824,Adult Education Center
825,Grampa's Office
826,Springfield High School Classroom
827,Rod And Todd's Bedroom
828,CIVIL DEFENSE SHELTER
829,DEFENSE SHELTER
830,CAFETERIA
831,RELIGIOUS SCHOOL
832,"40'S STYLE NIGHT CLUB A LA THE MOVIE ""CABARET"""
833,SECURITY ROOM
834,Springfield Fairgrounds
835,Springfield City Limits
836,FIELDS AROUND SPRINGFIELD
837,FALLOUT SHELTER
838,ROOF TOP CORNER 12TH AND MAIN
839,Bart's Body
840,“I Can't Believe It's a Law Firm!”
841,SAUNA
842,PODIUM
843,LOVEJOY HOUSE
844,Courthouse Hallway
845,Springfield Women's Prison
846,Trailer
847,Johnny Carson's House
848,Johnny Carson's Backyard
849,RACETRACK
850,KBBL Studios
851,GABBO SHOW
852,TOUR BUS
853,Playboy Mansion
854,ELIZABETH TAYLOR'S HOUSE
855,Krusty Theater
856,Stage
857,Building
858,Springfield Swap Meet
859,SWAP MEET
860,REHEARSAL HALL
861,Moe's Bathroom
862,Boat
863,Kennedy Airport
864,Statue of Liberty
865,CIVIC AUDITORIUM
866,GRAMMYS
867,Hotel Suite
868,Hotel Balcony
869,BLDG.
870,SOMEONE'S ROOM
871,Prison Cell
872,PAROLE BOARD
873,HEARING ROOM
874,Sideshow Bob's Room
875,PRIVATE INVESTIGATOR'S OFFICE
876,SPRINGFIELD BAR
877,FBI OFFICE
878,Simpson Convertible
879,Houseboat
880,MARINA
881,Old Simpson Home
882,SHORE
883,SAFETY CHAMBER
884,BASEMENT OF NUCLEAR POWER PLANT
885,SIMULATOR VAN
886,GUIDANCE COUNSELOR'S
887,ADMISSIONS OFFICE
888,BOARD OF OVERSEERS CONFERENCE ROOM
889,Springfield University
890,Construction Site
891,Springfield A&M
892,Springfield University Entrance
893,SPRINGFIELD MEMORIAL HOSPITAL
894,Ballroom
895,NUCLEAR POWER PLANT BALLROOM
896,Burns's Warehouse
897,Milk Plant
898,Burns's Bedroom
899,NIGHT GALLERY-TYPE SET
900,FASHION SHOW
901,HELL
902,SPRINGFIELD ELEMENTARY SCHOOL BUS
903,ALIEN SPACE SHIP
904,Flanders's Car
905,Ambulance
906,Castle
907,BURNS' CASTLE
908,SECRET ROOM
909,BURNS' BANQUET HALL
910,SIMPSON' HOUSE
911,SODA MACHINE
912,A DIFFERENT HALLWAY
913,Lenny's House
914,Honky-tonk Roadhouse
915,SH_T KICKERS
916,UNDERGROUND CLUB
917,THE HATE BOX
918,SECLUDED MEADOW
919,Ruth's Car
920,TRAIL
921,Springfield Sign
922,TRAIL NIGHT
923,Chief Wiggum's Police Car
924,WIGGUM'S CAR
925,GRAND CHASM
926,DRAGNET-STYLE LIMBO
927,LIMBO
928,Overpass
929,NEWS SET
930,FLOAT
931,OUTSIDE THE ARCADE
932,SPRINGFIELD STREET CORNER
933,OUTSIDE THE KWIK-E-MART
934,BUSY MAIN STREET
935,SEEDY SPRINGFIELD STREET
936,FREIGHTER
937,PATROL MEETING ROOM
938,Homer's Bedroom
939,THE SIDE OF THE RIVER
940,THE RIVER
941,A SUNNY BEACH
942,OUT AT SEA
943,River
944,RAFT
945,Ocean
946,OFFSHORE OIL RIG
948,ARAB NIGHTCLUB
949,HMO
950,Optometrist's Office
951,Dermatologist's Office
952,Podiatrist's Office
953,Internist's Office
954,Phone Booth
955,TELEPHONE BOOTH
956,Homer's Room
957,Homer's Bathroom
958,Homer's Hotel Room
959,CONVENTION HALL
960,Homer's Booth
961,CHINESE RESTAURANT
962,CHINESE RESTAURANT KITCHEN
963,SPRINGFIELD BOARDWALK
964,GONG SHOW
965,Mr. Burns' Casino
966,Skinner's Living Room
967,Suburban Springfield Street
968,Smartline Studio
969,ELEGANT MANSION
970,Box Factory
971,Channel 6 Studios
972,Street Corner
973,Krusty's Bathroom
974,Supermarket Grand Opening
975,STAGE DOOR
976,Little Girl's Bedroom
977,TALKSHOW
978,CITY STREETS
979,Homer's Hospital Room
980,CHANNEL 6 TV STATION
981,THE VAN
982,Simpsons
983,Monstromart
984,DESOLATE SCRUBLAND
985,Himalayas
986,India
987,AIRPORT IN INDIA
988,INDIAN PLAIN
989,MOUNTAIN TRAIL
990,Kwik-E-Mart Birthplace
991,Center for Geriatric Medicine
992,Seniorville Trolley
993,Kidstown USA
994,HUGE INDUSTRIAL COMPLEX
995,Malibu Stacy Factory
996,SOMEPLACE
997,Apartment Complex
